Movie,Year,RunTime,imdb,Genre,votes
12 Angry Men,(1957),96 min,9.0,"Crime, Drama","678,386"
The Notebook,(2004),123 min,7.8,"Drama, Romance","513,731"
The Exorcist,(1973),122 min,8.0,Horror,"359,380"
The Hobbit: An Unexpected Journey,(2012),169 min,7.8,"Adventure, Fantasy","750,398"
Rocky,(1976),120 min,8.1,"Drama, Sport","511,714"
Donnie Darko,(2001),113 min,8.0,"Drama, Mystery, Sci-Fi","733,617"
The Lord of the Rings: The Two Towers,(2002),179 min,8.7,"Action, Adventure, Drama","1,465,115"
The Hateful Eight,(2015),168 min,7.8,"Crime, Drama, Mystery","506,552"
Moana,(I) (2016),107 min,7.6,"Animation, Adventure, Comedy","266,151"
Spotlight,(I) (2015),129 min,8.1,"Biography, Crime, Drama","412,962"
Boogie Nights,(1997),155 min,7.9,Drama,"236,445"
The Pianist,(2002),150 min,8.5,"Biography, Drama, Music","717,742"
Skyfall,(2012),143 min,7.7,"Action, Adventure, Thriller","624,892"
La La Land,(2016),128 min,8.0,"Comedy, Drama, Music","495,283"
The Avengers,(2012),143 min,8.0,"Action, Adventure, Sci-Fi","1,249,699"
The Godfather: Part II,(1974),202 min,9.0,"Crime, Drama","1,112,655"
Star Wars: Episode VII - The Force Awakens,(2015),138 min,7.9,"Action, Adventure, Sci-Fi","851,239"
Drive,(I) (2011),100 min,7.8,"Crime, Drama","564,342"
Kingsman: The Secret Service,(2014),129 min,7.7,"Action, Adventure, Comedy","584,450"
Apollo 13,(I) (1995),140 min,7.6,"Adventure, Drama, History","264,917"
Batman Begins,(2005),140 min,8.2,"Action, Adventure","1,292,181"
The Bourne Identity,(2002),119 min,7.9,"Action, Mystery, Thriller","503,400"
The Girl with the Dragon Tattoo,(2011),158 min,7.8,"Crime, Drama, Mystery","416,014"
Black Swan,(2010),108 min,8.0,"Drama, Thriller","691,922"
300,(2006),117 min,7.6,"Action, Drama","726,906"
Zootopia,(2016),108 min,8.0,"Animation, Adventure, Comedy","426,739"
Almost Famous,(2000),122 min,7.9,"Adventure, Comedy, Drama","250,013"
Iron Man,(2008),126 min,7.9,"Action, Adventure, Sci-Fi","928,741"
Ferris Bueller's Day Off,(1986),103 min,7.8,Comedy,"317,908"
The Thing,(1982),109 min,8.1,"Horror, Mystery, Sci-Fi","366,335"
Bohemian Rhapsody,(2018),134 min,8.0,"Biography, Drama, Music","440,578"
A Star Is Born,(2018),136 min,7.6,"Drama, Music, Romance","325,600"
Memento,(2000),113 min,8.4,"Mystery, Thriller","1,111,516"
Marriage Story,(2019),137 min,8.0,"Comedy, Drama, Romance","236,212"
Stardust,(2007),127 min,7.6,"Adventure, Family, Fantasy","252,376"
There Will Be Blood,(2007),158 min,8.2,Drama,"509,516"
Sen to Chihiro no kamikakushi,(2001),125 min,8.6,"Animation, Adventure, Family","637,917"
American Gangster,(2007),157 min,7.8,"Biography, Crime, Drama","387,128"
Aliens,(1986),137 min,8.3,"Action, Adventure, Sci-Fi","645,924"
The Incredibles,(2004),115 min,8.0,"Animation, Action, Adventure","649,081"
Heat,(1995),170 min,8.2,"Crime, Drama, Thriller","568,839"
Dead Poets Society,(1989),128 min,8.1,"Comedy, Drama","417,284"
Casablanca,(1942),102 min,8.5,"Drama, Romance, War","515,523"
Ghostbusters,(1984),105 min,7.8,"Action, Comedy, Fantasy","351,509"
A Beautiful Mind,(2001),135 min,8.2,"Biography, Drama","837,136"
28 Days Later...,(2002),113 min,7.6,"Drama, Horror, Sci-Fi","373,156"
The Truman Show,(1998),103 min,8.1,"Comedy, Drama, Sci-Fi","923,736"
Scarface,(1983),170 min,8.3,"Crime, Drama","730,256"
Pan's Labyrinth,(2006),118 min,8.2,"Drama, Fantasy, War","612,457"
Psycho,(1960),109 min,8.5,"Horror, Mystery, Thriller","596,115"
Citizen Kane,(1941),119 min,8.3,"Drama, Mystery","394,200"
The Lion King,(1994),88 min,8.5,"Animation, Adventure, Drama","928,268"
Oldeuboi,(2003),120 min,8.4,"Action, Drama, Mystery","507,470"
Silver Linings Playbook,(2012),122 min,7.7,"Comedy, Drama, Romance","655,539"
2001: A Space Odyssey,(1968),149 min,8.3,"Adventure, Sci-Fi","595,090"
Lost in Translation,(2003),102 min,7.7,"Comedy, Drama","408,890"
Toy Story 4,(2019),100 min,7.8,"Animation, Adventure, Comedy","195,242"
Catch Me If You Can,(2002),141 min,8.1,"Biography, Crime, Drama","813,698"
Snatch,(2000),104 min,8.3,"Comedy, Crime","773,353"
Atonement,(2007),123 min,7.8,"Drama, Mystery, Romance","247,605"
Ex Machina,(2014),108 min,7.7,"Drama, Sci-Fi, Thriller","467,804"
The Terminator,(1984),107 min,8.0,"Action, Sci-Fi","792,510"
E.T. the Extra-Terrestrial,(1982),115 min,7.8,"Family, Sci-Fi","367,293"
Dallas Buyers Club,(2013),117 min,8.0,"Biography, Drama","434,988"
"Three Billboards Outside Ebbing, Missouri",(2017),115 min,8.2,"Comedy, Crime, Drama","420,279"
The Breakfast Club,(1985),97 min,7.8,"Comedy, Drama","353,212"
La vita è bella,(1997),116 min,8.6,"Comedy, Drama, Romance","613,842"
The Imitation Game,(2014),114 min,8.0,"Biography, Drama, Thriller","675,430"
Airplane!,(1980),88 min,7.7,Comedy,"211,728"
The Perks of Being a Wallflower,(2012),103 min,8.0,"Drama, Romance","456,386"
Hot Fuzz,(2007),121 min,7.8,"Action, Comedy, Mystery","458,634"
Arrival,(II) (2016),116 min,7.9,"Drama, Mystery, Sci-Fi","584,023"
True Romance,(1993),119 min,7.9,"Crime, Drama, Romance","204,591"
The Fifth Element,(1997),126 min,7.7,"Action, Adventure, Sci-Fi","429,510"
Terminator 2: Judgment Day,(1991),137 min,8.5,"Action, Sci-Fi","984,501"
Mulan,(1998),88 min,7.6,"Animation, Adventure, Family","252,148"
Star Wars: Episode V - The Empire Strikes Back,(1980),124 min,8.7,"Action, Adventure, Fantasy","1,143,594"
Cidade de Deus,(2002),130 min,8.6,"Crime, Drama","691,980"
Jaws,(1975),124 min,8.0,"Adventure, Thriller","539,546"
The Hangover,(2009),100 min,7.7,Comedy,"711,105"
The Help,(2011),146 min,8.0,Drama,"423,369"
Room,(I) (2015),118 min,8.1,"Drama, Thriller","363,875"
American History X,(1998),119 min,8.5,Drama,"1,023,635"
Sicario,(2015),121 min,7.6,"Action, Crime, Drama","365,602"
Star Wars: Episode VI - Return of the Jedi,(1983),131 min,8.3,"Action, Adventure, Fantasy","937,357"
Stand by Me,(1986),89 min,8.1,"Adventure, Drama","359,301"
The Wizard of Oz,(1939),102 min,8.0,"Adventure, Family, Fantasy","368,449"
"Il buono, il brutto, il cattivo",(1966),161 min,8.8,Western,"679,844"
Nightcrawler,(2014),117 min,7.9,"Crime, Drama, Thriller","456,716"
Once Upon a Time in America,(1984),229 min,8.4,"Crime, Drama","306,502"
Indiana Jones and the Temple of Doom,(1984),118 min,7.6,"Action, Adventure","443,276"
Mulholland Dr.,(2001),147 min,8.0,"Drama, Mystery, Thriller","317,122"
The Deer Hunter,(1978),183 min,8.1,"Drama, War","307,638"
Jagten,(2012),115 min,8.3,Drama,"274,501"
The Thin Red Line,(1998),170 min,7.6,"Drama, War","170,890"
Contratiempo,(2016),106 min,8.1,"Crime, Drama, Mystery","133,268"
Mary Poppins,(1964),139 min,7.8,"Comedy, Family, Fantasy","155,844"
It's a Wonderful Life,(1946),130 min,8.6,"Drama, Family, Fantasy","392,385"
Klaus,(2019),96 min,8.2,"Animation, Adventure, Comedy","79,173"
The Best Years of Our Lives,(1946),170 min,8.0,"Drama, Romance, War","56,773"
Where Eagles Dare,(1968),158 min,7.7,"Action, Adventure, War","51,296"
X: First Class,(2011),131 min,7.7,"Action, Adventure, Sci-Fi","640,854"
The Intouchables,(2011),112 min,8.5,"Biography, Comedy, Drama","746,259"
Hidden Figures,(2016),127 min,7.8,"Biography, Drama, History","196,704"
Edward Scissorhands,(1990),105 min,7.9,"Drama, Fantasy, Romance","442,405"
The Last of the Mohicans,(1992),112 min,7.7,"Action, Adventure, Drama","147,220"
Ratatouille,(2007),111 min,8.0,"Animation, Adventure, Comedy","631,796"
Kimi no na wa.,(2016),106 min,8.4,"Animation, Drama, Fantasy","186,253"
Ah-ga-ssi,(2016),145 min,8.1,"Drama, Romance, Thriller","108,665"
Wonder,(I) (2017),113 min,8.0,"Drama, Family","137,585"
Idi i smotri,(1985),142 min,8.3,"Drama, Thriller, War","56,645"
Salinui chueok,(2003),131 min,8.1,"Action, Crime, Drama","133,420"
Kill Bill: Vol. 1,(2003),111 min,8.1,"Action, Crime, Thriller","987,865"
Reservoir Dogs,(1992),99 min,8.3,"Crime, Drama, Thriller","906,695"
Into the Wild,(2007),148 min,8.1,"Adventure, Biography, Drama","565,798"
Sin City,(2005),124 min,8.0,"Crime, Thriller","735,712"
The Bourne Supremacy,(2004),108 min,7.7,"Action, Mystery, Thriller","430,602"
Scent of a Woman,(1992),156 min,8.0,Drama,"258,381"
Children of Men,(2006),109 min,7.9,"Adventure, Drama, Sci-Fi","460,934"
The Dirty Dozen,(1967),150 min,7.7,"Action, Adventure, War","66,508"
Big Fish,(2003),125 min,8.0,"Adventure, Drama, Fantasy","411,801"
Casino,(1995),178 min,8.2,"Crime, Drama","459,310"
Captain America: Civil War,(2016),147 min,7.8,"Action, Adventure, Sci-Fi","652,781"
12 Years a Slave,(2013),134 min,8.1,"Biography, Drama, History","631,617"
